PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35939277","Hierarchical Annotation for Building A Suite of Clinical Natural Language Processing Tasks: Progress Note Understanding","Gao Y, Dligach D, Miller T, Tesch S, Laffin R, Churpek MM, Afshar M.","LREC Int Conf Lang Resour Eval. 2022 Jun;2022:5484-5493.","Gao Y","LREC Int Conf Lang Resour Eval","2022","2022/08/08","PMC9354726","NIHMS1821989",""
"35308927","Reducing Physicians' Cognitive Load During Chart Review: A Problem-Oriented Summary of the Patient Electronic Record","Liang JJ, Tsou CH, Dandala B, Poddar A, Joopudi V, Mahajan D, Prager J, Raghavan P, Payne M.","AMIA Annu Symp Proc. 2022 Feb 21;2021:763-772. eCollection 2021.","Liang JJ","AMIA Annu Symp Proc","2022","2022/03/21","PMC8861663","",""
"34896015","The patient record and the rise of the pediatric EHR","Wasserman RC.","Curr Probl Pediatr Adolesc Health Care. 2022 Jan;52(1):101108. doi: 10.1016/j.cppeds.2021.101108. Epub 2021 Dec 10.","Wasserman RC","Curr Probl Pediatr Adolesc Health Care","2022","2021/12/13","","","10.1016/j.cppeds.2021.101108"
"34751651","A Fully Collaborative, Noteless Electronic Medical Record Designed to Minimize Information Chaos: Software Design and Feasibility Study","Steinkamp J, Sharma A, Bala W, Kantrowitz JJ.","JMIR Form Res. 2021 Nov 9;5(11):e23789. doi: 10.2196/23789.","Steinkamp J","JMIR Form Res","2021","2021/11/09","PMC8663541","","10.2196/23789"
"34643542","Building a Shared, Scalable, and Sustainable Source for the Problem-Oriented Medical Record: Developmental Study","Gaudet-Blavignac C, Rudaz A, Lovis C.","JMIR Med Inform. 2021 Oct 13;9(10):e29174. doi: 10.2196/29174.","Gaudet-Blavignac C","JMIR Med Inform","2021","2021/10/13","PMC8552094","","10.2196/29174"
"34597358","Decluttering the problem list in electronic health records","Brown AR, McCoy AB, Wright A, Nelson SD.","Am J Health Syst Pharm. 2022 Feb 18;79(Suppl 1):S8-S12. doi: 10.1093/ajhp/zxab381.","Brown AR","Am J Health Syst Pharm","2022","2021/10/01","","","10.1093/ajhp/zxab381"
"34042615","openEHR Based Contextual Problem List","Meredith J, McNicoll I, Whitehead N, Dacey M.","Stud Health Technol Inform. 2021 May 27;281:490-491. doi: 10.3233/SHTI210209.","Meredith J","Stud Health Technol Inform","2021","2021/05/27","","","10.3233/SHTI210209"
"33936430","Developing and Validating a Model for Detecting Longitudinal Inconsistencies in the Electronic Problem List","Hodge CM, Narus SP, Stoddard G.","AMIA Annu Symp Proc. 2021 Jan 25;2020:563-572. eCollection 2020.","Hodge CM","AMIA Annu Symp Proc","2021","2021/05/03","PMC8075429","",""
"33936427","Improving the Utility of Tobacco-Related Problem List Entries Using Natural Language Processing","Harris DR, Henderson DW, Corbeau A.","AMIA Annu Symp Proc. 2021 Jan 25;2020:534-543. eCollection 2020.","Harris DR","AMIA Annu Symp Proc","2021","2021/05/03","PMC8075422","",""
"33891924","Characterizing the Epidemiology and Provider Landscape of Male Infertility Care in the United States","Fantus RJ, Alter K, Chang C, Ambulkar SS, Bennett NE, Helfand BT, Brannigan RE, Halpern JA.","Urology. 2021 Jul;153:169-174. doi: 10.1016/j.urology.2021.04.008. Epub 2021 Apr 21.","Fantus RJ","Urology","2021","2021/04/23","","","10.1016/j.urology.2021.04.008"
"33864760","Temporal Trends and Patient Characteristics Associated with 30-Day Hospital Readmission Rates after a First Acute Myocardial Infarction","Tisminetzky M, Mehawej J, Miozzo R, Gurwitz JH, Gore JM, Lessard D, Abu HO, Bamgbade BA, Yarzebski J, Granillo E, Goldberg RJ.","Am J Med. 2021 Sep;134(9):1127-1134. doi: 10.1016/j.amjmed.2021.03.024. Epub 2021 Apr 20.","Tisminetzky M","Am J Med","2021","2021/04/17","PMC8410623","NIHMS1693924","10.1016/j.amjmed.2021.03.024"
"33840302","Factors affecting the manual linking of clinical progress notes to problems in daily clinical practice: A retrospective quantitative analysis and cross sectional survey","Cillessen F, de Vries Robbé P, Bor H, Biermans M.","Health Informatics J. 2021 Apr-Jun;27(2):14604582211007534. doi: 10.1177/14604582211007534.","Cillessen F","Health Informatics J","2021","2021/04/12","","","10.1177/14604582211007534"
"33827555","Contextual property detection in Dutch diagnosis descriptions for uncertainty, laterality and temporality","Klappe ES, van Putten FJP, de Keizer NF, Cornet R.","BMC Med Inform Decis Mak. 2021 Apr 7;21(1):120. doi: 10.1186/s12911-021-01477-y.","Klappe ES","BMC Med Inform Decis Mak","2021","2021/04/08","PMC8028823","","10.1186/s12911-021-01477-y"
"33665057","Meaningful Use of Electronic Health Records and Ambulatory Healthcare Quality Measures","Alammari D, Banta JE, Shah H, Reibling E, Ramadan M.","Cureus. 2021 Jan 31;13(1):e13036. doi: 10.7759/cureus.13036.","Alammari D","Cureus","2021","2021/03/05","PMC7924813","","10.7759/cureus.13036"
"33566093","Impact of a problem-oriented view on clinical data retrieval","Semanik MG, Kleinschmidt PC, Wright A, Willett DL, Dean SM, Saleh SN, Co Z, Sampene E, Buchanan JR.","J Am Med Inform Assoc. 2021 Apr 23;28(5):899-906. doi: 10.1093/jamia/ocaa332.","Semanik MG","J Am Med Inform Assoc","2021","2021/02/10","PMC8068438","","10.1093/jamia/ocaa332"
"32921379","Why Patients Visit Dentists - A Study in all World Health Organization Regions","John MT, Sekulić S, Bekes K, Al-Harthy MH, Michelotti A, Reissmann DR, Nikolovska J, Sanivarapu S, Lawal FB, List T, Peršić Kiršić S, Strajnić L, Casassus R, Baba K, Schimmel M, Amuasi A, Jayasinghe RD, Strujić-Porović S, Peck CC, Xie H, Haugaard Bendixen K, Simancas Pallares MA, Perez-Franco E, Naghibi Sistani MM, Valerio P, Letunova N, Nurelhuda NM, Bartlett DW, Oluwafemi IA, Dghoughi S, Ferreira JNAR, Chantaracherd P, Rener-Sitar K.","J Evid Based Dent Pract. 2020 Sep;20(3):101459. doi: 10.1016/j.jebdp.2020.101459. Epub 2020 Jun 1.","John MT","J Evid Based Dent Pract","2020","2020/09/14","PMC7490464","NIHMS1613623","10.1016/j.jebdp.2020.101459"
"32620950","Characterizing outpatient problem list completeness and duplications in the electronic health record","Wang EC, Wright A.","J Am Med Inform Assoc. 2020 Aug 1;27(8):1190-1197. doi: 10.1093/jamia/ocaa125.","Wang EC","J Am Med Inform Assoc","2020","2020/07/05","PMC7481031","","10.1093/jamia/ocaa125"
"32604659","Transition Requirements from Problem List to an Overarching Care Plan for the Support of Person-Centered Care","Cillessen F, Hofdijk J.","Stud Health Technol Inform. 2020 Jun 26;272:292-295. doi: 10.3233/SHTI200552.","Cillessen F","Stud Health Technol Inform","2020","2020/07/02","","","10.3233/SHTI200552"
"32570447","Defining the Contextual Problem List","Meredith J, McNicoll I, Whitehead N, Ademoye K.","Stud Health Technol Inform. 2020 Jun 16;270:567-571. doi: 10.3233/SHTI200224.","Meredith J","Stud Health Technol Inform","2020","2020/06/24","","","10.3233/SHTI200224"
"32570384","Heimdall, a Computer Program for Electronic Health Records Data Visualization","Martignene N, Balcaen T, Bouzille G, Calafiore M, Beuscart JB, Lamer A, Legrand B, Ficheur G, Chazard E.","Stud Health Technol Inform. 2020 Jun 16;270:247-251. doi: 10.3233/SHTI200160.","Martignene N","Stud Health Technol Inform","2020","2020/06/24","","","10.3233/SHTI200160"
"32522033","The Inadequacy of Coding Nomenclature to Represent the Timeline of a Disease (Like Diabetes)","Millares Martin P.","J Diabetes Sci Technol. 2020 Sep;14(5):978-979. doi: 10.1177/1932296820929674. Epub 2020 Jun 10.","Millares Martin P","J Diabetes Sci Technol","2020","2020/06/12","PMC7753851","","10.1177/1932296820929674"
"32521555","Factors Influencing Problem List Use in Electronic Health Records-Application of the Unified Theory of Acceptance and Use of Technology","Klappe ES, de Keizer NF, Cornet R.","Appl Clin Inform. 2020 May;11(3):415-426. doi: 10.1055/s-0040-1712466. Epub 2020 Jun 10.","Klappe ES","Appl Clin Inform","2020","2020/06/11","PMC7286722","","10.1055/s-0040-1712466"
"32426831","Integrating patient-centric indications into the prescribing process: Experience at a tertiary academic medical center","Ho J, Wrzesniewski CE, Hasson NK.","Am J Health Syst Pharm. 2020 May 19;77(Supplement_2):S26-S33. doi: 10.1093/ajhp/zxaa065.","Ho J","Am J Health Syst Pharm","2020","2020/05/20","","","10.1093/ajhp/zxaa065"
